id,text,type,option
explicit.stat_1926135629,Added Small Passive Skills also grant: #% to Critical Strike Multiplier,explicit,
explicit.stat_1619549198,Ignited Enemies Burn #% slower,explicit,
explicit.stat_335735137,Totems cannot be Stunned,explicit,
explicit.stat_307410279,Recover an additional #% of Flask's Life Recovery Amount over 10 seconds if used while not on Full Life,explicit,
explicit.stat_2314393054,"#% increased total Recovery per second from Life, Mana, or Energy Shield Leech",explicit,
explicit.stat_4252342397,"Areas contain additional Shrines
Area contains Shrines guarded by Pantheon Monsters",explicit,
explicit.stat_1351893427,"With at least 40 Intelligence in Radius, Fireball Projectiles gain Radius as they travel farther, up to # Radius",explicit,
explicit.stat_3175722882,#% of Life Regenerated per second per Fragile Regrowth,explicit,
explicit.stat_1173537953,Maximum # Fragile Regrowth,explicit,
explicit.stat_3841984913,Gain # Fragile Regrowth each second,explicit,
explicit.stat_1953432004,Unaffected by Poison,explicit,
explicit.stat_1266553505,Weapons you Animate create an additional copy,explicit,
explicit.stat_739274558,#% increased Chaos Damage while affected by Herald of Agony,explicit,
explicit.stat_497716276,#% increased Trap Trigger Area of Effect,explicit,
explicit.stat_1131820918,"Rare and Unique Crucible Monsters have #% chance to drop a Shield with
a Crucible Passive Skill Tree",explicit,
explicit.stat_693808153,1 Added Passive Skill is Blast-Freeze,explicit,
explicit.stat_759294825,Animated Guardian deals #% increased Damage per Animated Weapon,explicit,
explicit.stat_806698863,Consecrated Ground created by this Flask has Tripled Radius,explicit,
explicit.stat_1984113628,#% increased Effect of Chill and Shock on you,explicit,
explicit.stat_1973890509,#% chance to Trigger Level 20 Animate Weapon on Kill,explicit,
explicit.stat_414991155,#% less Animate Weapon Duration,explicit,
explicit.stat_4204954479,Mana Recovery occurs instantly at the end of Effect,explicit,
explicit.stat_3285400610,#% to Off Hand Critical Strike Chance per 10 Maximum Energy Shield on Shield,explicit,
explicit.stat_3711553948,1 Added Passive Skill is Devastator,explicit,
explicit.stat_524797741,# to Level of Socketed Active Skill Gems,explicit,
explicit.stat_2609768284,Area is inhabited by the Vaal,explicit,
explicit.stat_2155467472,#% chance to be inflicted with Bleeding when Hit by an Attack,explicit,
explicit.stat_943553365,Each Summoned Phantasm grants you Phantasmal Might,explicit,
explicit.stat_2053992416,"With 40 total Dexterity and Strength in Radius, Prismatic Skills deal 50% less Lightning Damage",explicit,
explicit.stat_2161482953,Regenerate # Life per Second while on Low Life,explicit,
explicit.stat_3603019813,"With at least 40 Dexterity in Radius, Dual Strike deals Off-Hand Splash Damage
to surrounding targets",explicit,
explicit.stat_3462113315,Your Raised Spectres also gain Arcane Surge when you do,explicit,
explicit.stat_3765671129,"With at least 40 Dexterity in Radius, Dual Strike has a #% chance
to deal Double Damage with the Main-Hand Weapon",explicit,
explicit.stat_4238266823,#% of Lightning Damage Converted to Chaos Damage,explicit,
explicit.stat_637033100,"With 40 total Dexterity and Strength in Radius, Prismatic Skills cannot choose Lightning",explicit,
explicit.stat_886366428,#% increased Damage for each Magic Item Equipped,explicit,
explicit.stat_1531241759,"Strength's Damage Bonus instead grants 3% increased Melee
Physical Damage per 10 Strength",explicit,
explicit.stat_34273389,Gain a Void Charge every # seconds,explicit,
explicit.stat_1376530950,Adds Hollow Palm Technique,explicit,
explicit.stat_654971543,"Trigger a Socketed Lightning Spell on Hit, with a 0.25 second Cooldown
Socketed Lightning Spells have no Cost if Triggered",explicit,
explicit.stat_3262369040,Consumes a Void Charge to Trigger Level # Void Shot when you fire Arrows with a Non-Triggered Skill,explicit,
explicit.stat_3358745905,Attacks Cost Life instead of Mana,explicit,
explicit.stat_3304801725,# Mana gained on Killing a Frozen Enemy,explicit,
explicit.stat_1417394145,Golems have # to # Added Attack Physical Damage,explicit,
explicit.stat_3681057026,Recover Energy Shield equal to #% of Armour when you Block,explicit,
explicit.stat_1765389199,Life Leech from Hits with this Weapon is instant,explicit,
explicit.stat_1079239905,Socketed Gems are Supported by Level # Lifetap,explicit,
explicit.stat_2946222246,No Travel Cost,explicit,
explicit.stat_536929014,#% to Critical Strike Multiplier if you've Shattered an Enemy Recently,explicit,
explicit.stat_1433144735,Increases and Reductions to Minion Damage also affect you at 150% of their value,explicit,
explicit.stat_2813626504,Spells have a #% chance to deal Double Damage,explicit,
explicit.stat_2314111938,1 Added Passive Skill is Mystical Ward,explicit,
explicit.stat_1302845655,#% chance to gain a Frenzy Charge for each Enemy you hit with a Critical Strike,explicit,
explicit.stat_3138486617,Alert Level increases by #% per second,explicit,
explicit.stat_769192511,"While your Passive Skill Tree connects to a class' starting location, you gain:
Marauder: Melee Skills have #% increased Area of Effect
Duelist: #% of Attack Damage Leeched as Life
Ranger: #% increased Movement Speed
Shadow: #% to Critical Strike Chance
Witch: #% of Mana Regenerated per second
Templar: Damage Penetrates #% Elemental Resistances
Scion: # to All Attributes",explicit,
explicit.stat_2100165275,Temporal Chains has no Reservation if Cast as an Aura,explicit,
explicit.stat_2908886986,#% chance to deal Double Damage while Focused,explicit,
explicit.stat_2665170385,1 Added Passive Skill is Hit and Run,explicit,
explicit.stat_3243514586,"Rare and Unique Crucible Monsters have #% chance to drop a Ranged Weapon with
a Crucible Passive Skill Tree",explicit,
explicit.stat_3035514623,Spectres have #% increased maximum Life,explicit,
explicit.stat_2518308945,"Areas contain many additional Breaches
Breaches open and close faster",explicit,
explicit.stat_3828613551,#% to Quality of Socketed Gems,explicit,
explicit.stat_3718597497,Socketed Gems are Supported by Level # Controlled Destruction,explicit,
explicit.stat_1715495976,#% less Minimum Physical Attack Damage,explicit,
explicit.stat_2968301430,Gain # Life when you Stun an Enemy,explicit,
explicit.stat_616993076,The Ring takes no Cut,explicit,
explicit.stat_4102318278,Grants Level # Aspect of the Crab Skill,explicit,
explicit.stat_3029185248,#% more Maximum Physical Attack Damage,explicit,
explicit.stat_982290947,1 Added Passive Skill is Flexible Sentry,explicit,
explicit.stat_4116409626,#% increased Elemental Damage with Attack Skills per Power Charge,explicit,
explicit.stat_3206652215,#% chance to be Shocked,explicit,
explicit.stat_240790947,#% to Off Hand Critical Strike Multiplier per 10 Maximum Energy Shield on Shield,explicit,
explicit.stat_2199099676,"Gain an Endurance, Frenzy or Power charge when you Block",explicit,
explicit.stat_684268017,Warcry Skills' Cooldown Time is 4 seconds,explicit,
explicit.stat_2789750513,"Areas contain additional Abysses
Abysses have already fully opened
Abysses contain monsters from Beyond this realm",explicit,
explicit.stat_1506185293,Attacks with this Weapon deal Double Damage,explicit,
explicit.stat_2836980154,You cannot have Non-Spectre Minions,explicit,
explicit.stat_1306791873,Lose all Fragile Regrowth when Hit,explicit,
explicit.stat_99487834,Your Skills deal you #% of Mana Spent on Upfront Skill Mana Costs as Physical Damage,explicit,
explicit.stat_4164870816,#% to Critical Strike Multiplier per Power Charge,explicit,
explicit.stat_2168861013,#% chance to Freeze Enemies for 1 second when they Hit you,explicit,
explicit.stat_2833896424,#% increased Rarity of Items dropped in Heists,explicit,
explicit.stat_3408601861,Area is inhabited by Lunaris fanatics,explicit,
explicit.stat_373964381,Mind Over Matter,explicit,
explicit.stat_3709502856,Enemies Hindered by you have #% increased Life Regeneration rate,explicit,
explicit.stat_2560038623,"With at least 40 Intelligence in Radius, Cold Snap grants Power Charges instead of Frenzy Charges when Enemies die in its Area
With at least 40 Intelligence in Radius, Cold Snap's Cooldown can be bypassed by Power Charges instead of Frenzy Charges",explicit,
explicit.stat_1181501418,# to Maximum Rage,explicit,
explicit.stat_696659555,#% increased Movement Speed while Bleeding,explicit,
explicit.stat_2923377613,Spells have #% increased Critical Strike Chance per Intensity,explicit,
explicit.stat_1091613629,Gain Shaper's Presence for 10 seconds when you kill a Rare or Unique Enemy,explicit,
explicit.stat_1569101201,Exerted Attacks deal #% increased Damage,explicit,
explicit.stat_957679205,1 Added Passive Skill is Ancestral Echo,explicit,
explicit.stat_303219716,"With at least 40 Intelligence in Radius, #% of Damage taken Recouped as Mana if you've Warcried Recently",explicit,
explicit.stat_2337295272,Minions deal #% increased Damage if you've Hit Recently,explicit,
explicit.stat_3304203764,#% Chance to Block Attack Damage from Cursed Enemies,explicit,
explicit.stat_2195406641,1 Added Passive Skill is Lead By Example,explicit,
explicit.stat_2238019079,Regenerate # Energy Shield per second while a Rare or Unique Enemy is Nearby,explicit,
explicit.stat_3111255591,#% of Physical Attack Damage Leeched as Life during Effect,explicit,
explicit.stat_761505024,Adds # to # Fire Attack Damage per Buff on you,explicit,
explicit.stat_2864618930,"With 40 total Strength and Intelligence in Radius, Prismatic Skills cannot choose Cold",explicit,
explicit.stat_3536778624,1 Added Passive Skill is Towering Threat,explicit,
explicit.stat_3134513219,#% more Burning Damage,explicit,
explicit.stat_3434279150,Adds # to # Fire Spell Damage per Buff on you,explicit,
explicit.stat_811386429,"With at least 40 Dexterity in Radius, each Spectral Throw Projectile gains #% increased Damage each time it Hits",explicit,
explicit.stat_1595367309,1 Added Passive Skill is Snowstorm,explicit,
explicit.stat_1813069390,"With 40 total Intelligence and Dexterity in Radius, Prismatic Skills deal 50% less Fire Damage",explicit,
explicit.stat_3286480398,"With 40 total Strength and Intelligence in Radius, Prismatic Skills deal 50% less Cold Damage",explicit,
explicit.stat_63111803,"With 40 total Intelligence and Dexterity in Radius, Prismatic Skills cannot choose Fire",explicit,
explicit.stat_1859244771,Socketed Gems are Supported by Level # Bonechill,explicit,
explicit.stat_1477032229,Damage Penetrates #% Cold Resistance against Chilled Enemies,explicit,
explicit.stat_4288473380,1 Added Passive Skill is Rattling Bellow,explicit,
explicit.stat_1172162241,# to Character Level,explicit,
explicit.stat_347328113,# Energy Shield gained on Killing a Shocked Enemy,explicit,
explicit.stat_2818653316,"With at least 40 Intelligence in Radius, Discharge deals #% more Damage",explicit,
explicit.stat_1213084913,"With at least 40 Intelligence in Radius, Discharge Cooldown is # ms",explicit,
explicit.stat_773846741,"Inflict Decay on Enemies you Curse with Hex Skills, dealing # Chaos Damage per Second for 8 Seconds",explicit,
explicit.stat_3683643898,#% increased Quantity of Items dropped in Heists,explicit,
explicit.stat_1964333391,"# Lightning Damage taken per second per Power Charge if
your Skills have dealt a Critical Strike Recently",explicit,
explicit.stat_2045330446,"With at least 40 Intelligence in Radius, Discharge has #% more Area of Effect",explicit,
explicit.stat_664010431,1 Added Passive Skill is Veteran Defender,explicit,
explicit.stat_2806435316,#% increased Accuracy Rating if you haven't Killed Recently,explicit,
explicit.stat_1220361974,"Enemies you Kill Explode, dealing #% of their Life as Physical Damage",explicit,
explicit.stat_356456977,Socketed Attacks have #% to Critical Strike Multiplier,explicit,
explicit.stat_28721242,You can have two different Banners at the same time,explicit,
explicit.stat_406887685,# to Maximum Rage while wielding a Sword,explicit,
explicit.stat_3282302743,"Socketed Non-Channelling Bow Skills are Triggered by Snipe
Socketed Triggered Bow Skills gain a 0.05 second Cooldown",explicit,
explicit.stat_2343098806,Grants Level # Snipe Skill,explicit,
explicit.stat_4085417083,Adds # to # Lightning Damage to Spells per Power Charge,explicit,
explicit.stat_1087710344,#% Chance for Traps to Trigger an additional time,explicit,
explicit.stat_715256302,Socketed Gems are Supported by Level # Brutality,explicit,
explicit.stat_2350668735,1 Added Passive Skill is Volatile Presence,explicit,
explicit.stat_2212731469,#% to Damage over Time Multiplier for Ailments per Elder Item Equipped,explicit,
explicit.stat_2503253050,Cannot gain Power Charges,explicit,
explicit.stat_2477735984,#% of Lightning Damage is taken from Mana before Life,explicit,
explicit.stat_3992439283,#% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby,explicit,
explicit.stat_1904581068,1 Added Passive Skill is Force Multiplier,explicit,
explicit.stat_824024007,Your Critical Strike Multiplier is 300%,explicit,
explicit.stat_611839381,Take no Extra Damage from Critical Strikes if you have a Magic Ring in left slot,explicit,
explicit.stat_1085167979,1 Added Passive Skill is Blanketed Snow,explicit,
explicit.stat_4108186648,#% chance to Suppress Spell Damage while Channelling,explicit,
explicit.stat_2134141047,1 Added Passive Skill is Vital Focus,explicit,
explicit.stat_3446950357,Increases and Reductions to other Damage Types in Radius are Transformed to apply to Fire Damage,explicit,
explicit.stat_1023968711,Hits with this Weapon gain #% of Physical Damage as Extra Cold or Lightning Damage,explicit,
explicit.stat_4210011075,#% to Chaos Resistance per Endurance Charge,explicit,
explicit.stat_1209237645,# Maximum Void Charges,explicit,
explicit.stat_4173140569,"Banners you are carrying gain 1 Stage on Melee Hit, up to 5 per second",explicit,
explicit.stat_2195518432,1 Added Passive Skill is Energy From Naught,explicit,
explicit.stat_3345955207,"Every 8 seconds, gain Avatar of Fire for 4 seconds",explicit,
explicit.stat_1214532298,#% Chance to Block Attack Damage if there are at least 5 nearby Enemies,explicit,
explicit.stat_2815652613,#% increased Critical Strike Chance while you have Avatar of Fire,explicit,
explicit.stat_1653010703,#% to Non-Ailment Chaos Damage over Time Multiplier,explicit,
explicit.stat_2028847114,Curse Enemies with Elemental Weakness on Hit,explicit,
explicit.stat_2150878631,1 Added Passive Skill is Endbringer,explicit,
explicit.stat_2052379536,#% of Physical Damage Converted to Fire while you have Avatar of Fire,explicit,
explicit.stat_1818900806,#% Critical Strike Chance per Power Charge,explicit,
explicit.stat_14664297,Heist Chests have a #% chance to Duplicate contained Basic Currency,explicit,
explicit.stat_3597806437,Adds # to # Lightning Damage to Spells while Unarmed,explicit,
explicit.stat_513221334,# to Armour per Endurance Charge,explicit,
explicit.stat_2358015838,Evasion Rating is increased by Overcapped Cold Resistance,explicit,
explicit.stat_891277550,Socketed Gems are supported by Level # Life Leech,explicit,
explicit.stat_913919528,Socketed Gems are Supported by Level # Spell Echo,explicit,
explicit.stat_1431402553,Gain #% of Physical Damage as Extra Fire Damage per 1 Rage,explicit,
explicit.stat_3163738488,#% increased Elemental Damage per Grand Spectrum,explicit,
explicit.stat_1686913105,#% reduced Elemental Damage taken from Hits per Endurance Charge,explicit,
explicit.stat_3248691197,# to # Added Chaos Damage with Dagger Attacks,explicit,
explicit.stat_1128763150,Triggers Level # Fire Aegis when Equipped,explicit,
explicit.stat_1232004574,"#% chance that if you would gain Power Charges, you instead gain up to
your maximum number of Power Charges",explicit,
explicit.stat_173438493,Adds # to # Physical Damage per Endurance Charge,explicit,
explicit.stat_4187741589,Minions deal #% increased Damage per 5 Dexterity,explicit,
explicit.stat_2487643588,Socketed Gems are Supported by Level # Less Duration,explicit,
explicit.stat_573223427,#% chance to gain Arcane Surge when you Kill an Enemy,explicit,
explicit.stat_374891408,#% of Physical Attack Damage Leeched as Mana during Effect,explicit,
explicit.stat_3609854472,Impale Damage dealt to Enemies Impaled by you Overwhelms #% Physical Damage Reduction,explicit,
explicit.stat_1170556324,"With at least 40 Dexterity in Radius, Galvanic Arrow deals #% increased Area Damage",explicit,
explicit.stat_3945934607,"With at least 40 Dexterity in Radius, Galvanic Arrow has #% increased Area of Effect",explicit,
explicit.stat_2295439133,"With at least 40 Strength in Radius, Molten Strike Projectiles Chain # time",explicit,
explicit.stat_786380548,"With at least 40 Strength in Radius, Molten Strike fires #% more Projectiles",explicit,
explicit.stat_4186532642,Armour also applies to Chaos Damage taken from Hits,explicit,
explicit.stat_670814047,"With at least 40 Strength in Radius, Molten Strike Projectiles Chain on impacting ground",explicit,
explicit.stat_346029096,Avatar of Fire,explicit,
explicit.stat_4054656914,1 Added Passive Skill is Vicious Guard,explicit,
explicit.stat_1527893390,Trigger Level # Lightning Warp on Hit with this Weapon,explicit,
explicit.stat_3703926412,#% increased Fire Damage with Hits and Ailments against Bleeding Enemies,explicit,
explicit.stat_1263962567,"Areas are Breached
Areas contain additional Large Breach Hands
Breach Bosses have a chance to drop a Breachstone",explicit,
explicit.stat_77045106,1 Added Passive Skill is Ancestral Inspiration,explicit,
explicit.stat_1549868759,# to Evasion Rating and Energy Shield,explicit,
explicit.stat_3375415245,#% increased Physical Damage with Hits and Ailments against Ignited Enemies,explicit,
explicit.stat_495095219,#% increased Critical Strike Chance for Spells per Raised Spectre,explicit,
explicit.stat_2816098341,"Trigger Socketed Minion Spells on Kill with this Weapon
Minion Spells Triggered by this Item have a 0.25 second Cooldown with 5 Uses",explicit,
explicit.stat_2649513539,Physical Damage taken bypasses Energy Shield,explicit,
explicit.stat_3388448323,Socketed Gems are Supported by Level # Greater Spell Echo,explicit,
explicit.stat_958088871,#% of Damage Leeched as Life on Critical Strike,explicit,
explicit.stat_1920234902,# Fire Damage taken per second per Endurance Charge if you've been Hit Recently,explicit,
explicit.stat_4078952782,# Armour while you do not have Avatar of Fire,explicit,
explicit.stat_2459809121,"Chill Enemy for # second when Hit, reducing their Action Speed by 30%",explicit,
explicit.stat_1551563177,Players are Cursed with Despair,explicit,
explicit.stat_2241560081,#% increased Attack Speed per 25 Dexterity,explicit,
explicit.stat_3444629796,#% increased Effect of Curses on you while on Consecrated Ground,explicit,
explicit.stat_769468514,#% to Damage over Time Multiplier for Bleeding per Rage while wielding an Axe,explicit,
explicit.stat_2049471530,Trigger Level # Warlord's Mark when you Hit a Rare or Unique Enemy and have no Mark,explicit,
explicit.stat_547412107,#% increased Vaal Skill Effect Duration,explicit,
explicit.stat_3302736916,"#% chance to Trigger a Socketed Spell when you Attack with a Bow, with a 0.3 second Cooldown",explicit,
explicit.stat_3008104268,Chaos Damage taken does not bypass Minions' Energy Shield,explicit,
explicit.stat_2205982416,1 Added Passive Skill is Broadside,explicit,
explicit.stat_1360359242,"While Minions have Energy Shield, their Hits Ignore Monster Elemental Resistances",explicit,
explicit.stat_2834476618,Minions have #% faster start of Energy Shield Recharge,explicit,
explicit.stat_433536969,"Minions Convert #% of their Maximum Life to Maximum Energy
Shield per 1% Chaos Resistance they have",explicit,
explicit.stat_920385757,# to maximum number of Summoned Golems if you have 3 Primordial Items Socketed or Equipped,explicit,
explicit.stat_2906522048,+# to Maximum Energy Shield per Blue Socket,explicit,
explicit.stat_1038955006,1 Added Passive Skill is Dragon Hunter,explicit,
explicit.stat_2179619644,#% chance to gain a Power Charge if you Knock an Enemy Back with Melee Damage,explicit,
explicit.stat_3710150470,Maximum Brutal Charges is equal to Maximum Endurance Charges,explicit,
explicit.stat_3003321700,Flasks do not apply to you,explicit,
explicit.stat_598215770,Your nearby party members maximum Endurance Charges is equal to yours,explicit,
explicit.stat_3188455409,Regenerate #% of Mana per second,explicit,
explicit.stat_376158712,Players are Cursed with Conductivity,explicit,
explicit.stat_4222857095,Adds # to # Lightning Damage for each Shocked Enemy you've Killed Recently,explicit,
explicit.stat_4210076836,+# to Maximum Life per Red Socket,explicit,
explicit.stat_3918947537,Triggers Level # Cold Aegis when Equipped,explicit,
explicit.stat_2467500499,"Players in Areas take on the form of Harbingers
Items found in Areas are replaced by stacks of Currency Shards",explicit,
explicit.stat_1013470938,1 Added Passive Skill is Deadly Repartee,explicit,
explicit.stat_1903496649,1 Added Passive Skill is Graceful Execution,explicit,
explicit.stat_3131110290,"With at least 40 Intelligence in Radius, Rolling Magma deals #% more Damage",explicit,
explicit.stat_842363566,Dexterity and Intelligence from passives in Radius count towards Strength Melee Damage bonus,explicit,
explicit.stat_1141756390,"With at least 40 Intelligence in Radius, Rolling Magma deals #% more Damage per Chain",explicit,
explicit.stat_4272503233,1 Added Passive Skill is Paralysis,explicit,
explicit.stat_3566242751,Grants Level # Decoy Totem Skill,explicit,
explicit.stat_1482194094,"With at least 40 Intelligence in Radius, Fireball has #% chance to inflict scorch",explicit,
explicit.stat_480975218,"With at least 40 Intelligence in Radius, Fireball cannot ignite",explicit,
explicit.stat_2054530657,Added Small Passive Skills also grant: #% increased Attack and Cast Speed with Cold Skills,explicit,
explicit.stat_1749783861,Grants Level # Embrace Madness Skill,explicit,
explicit.stat_3835522656,Adds # to # Lightning Damage to Unarmed Melee Hits,explicit,
explicit.stat_2878779644,Grants Level 20 Summon Bestial # Skill,explicit,"{'options': [{'id': 1, 'text': 'Rhoa'}, {'id': 2, 'text': 'Ursa'}, {'id': 3, 'text': 'Snake'}]}"
explicit.stat_2982500944,#% increased Projectile Damage while in Blood Stance,explicit,
explicit.stat_755922799,Minions have #% chance to deal Double Damage,explicit,
explicit.stat_3587013273,Socketed Gems are Supported by Level # Item Rarity,explicit,
explicit.stat_896299992,+# to Maximum Mana per Green Socket,explicit,
explicit.stat_2118664144,1 Added Passive Skill is Mage Hunter,explicit,
explicit.stat_235105674,#% increased Life Recovery Rate per 10 Strength on Allocated Passives in Radius,explicit,
explicit.stat_1195353227,Added Small Passive Skills also grant: #% increased Cast Speed,explicit,
explicit.stat_4080206249,Gain up to maximum Endurance Charges when you take a Critical Strike,explicit,
explicit.stat_2474196346,Gain # Mana per Enemy Hit with Spells,explicit,
explicit.stat_18234720,#% increased Intelligence Requirement,explicit,
explicit.stat_2200407711,Minions have #% to Cold Resistance,explicit,
explicit.stat_3828375170,Bleeding you inflict deals Damage #% faster,explicit,
explicit.stat_720395808,#% of Elemental Damage Leeched as Life,explicit,
explicit.stat_1236638414,Minions gain #% of Physical Damage as Extra Cold Damage,explicit,
explicit.stat_2373999301,Nearby Allies have #% increased Cast Speed per 100 Intelligence you have,explicit,
explicit.stat_2306836071,Gain Brutal Charges instead of Endurance Charges,explicit,
explicit.stat_2106756686,#% of Physical Damage Converted to Lightning Damage while affected by Wrath,explicit,
explicit.stat_1472543401,Cannot be Stunned when on Low Life,explicit,
explicit.stat_2170294665,Unique Boss drops divination cards,explicit,
explicit.stat_3898572660,1 Added Passive Skill is Holy Conquest,explicit,
explicit.stat_2084371547,1 Added Passive Skill is Expert Sabotage,explicit,
explicit.stat_1741700339,1 Added Passive Skill is Thunderstruck,explicit,
explicit.stat_3031897787,"Has a Crucible Passive Skill Tree with only Support Passive Skills
Crucible Passive Skill Tree is removed if this Modifier is removed",explicit,
explicit.stat_1386792919,Hits with this Weapon Shock Enemies as though dealing #% more Damage,explicit,
explicit.stat_2498303876,Grants Level # Doryani's Touch Skill,explicit,
explicit.stat_3274270612,1 Added Passive Skill is Heraldry,explicit,
explicit.stat_2129352930,Armour is increased by Overcapped Fire Resistance,explicit,
explicit.stat_3151397056,#% increased Effect of Onslaught on you,explicit,
explicit.stat_4193902224,Unaffected by Blind,explicit,
explicit.stat_3112776239,Recover #% of Life when you Ignite an Enemy,explicit,
explicit.stat_3913282911,#% to Chaos Damage over Time Multiplier with Attack Skills,explicit,
explicit.stat_458438597,#% of Damage is taken from Mana before Life,explicit,
explicit.stat_3919557483,#% increased Burning Damage if you've Ignited an Enemy Recently,explicit,
explicit.stat_314741699,#% increased Attack Speed while a Rare or Unique Enemy is Nearby,explicit,
explicit.stat_3450276548,Blind Chilled Enemies on Hit,explicit,
explicit.stat_1154827254,#% to Critical Strike Multiplier per 10 Strength on Unallocated Passives in Radius,explicit,
explicit.stat_725696472,Maximum 1 Buff from an Active Ancestor Totem at a time,explicit,
explicit.stat_1027887872,#% increased Effect of Buffs your Ancestor Totems grant while Active,explicit,
explicit.stat_393565679,1 Added Passive Skill is Arcane Adept,explicit,
explicit.stat_2262034536,1 Added Passive Skill is Invigorating Portents,explicit,
explicit.stat_2340173293,#% increased Item Quantity per White Socket,explicit,
explicit.stat_3285021988,Gain # Life per Enemy Hit if you have used a Vaal Skill Recently,explicit,
explicit.stat_1462364052,Hinders nearby Enemies with #% reduced Movement Speed if used while not on Full Life,explicit,
explicit.stat_3328802509,Buffs from Active Ancestor Totems Linger for # second,explicit,
explicit.stat_1285172810,#% increased Movement Speed if you have used a Vaal Skill Recently,explicit,
explicit.stat_1903097619,Added Small Passive Skills also grant: #% increased Attack and Cast Speed with Physical Skills,explicit,
explicit.stat_4222635921,1 Added Passive Skill is Savage Response,explicit,
explicit.stat_3187805501,Added Small Passive Skills also grant: #% increased Flask Charges gained,explicit,
explicit.stat_1499057234,1 Added Passive Skill is Battlefield Dominator,explicit,
explicit.stat_2809802678,Skills fire an additional Projectile if you've used a Movement Skill Recently,explicit,
explicit.stat_679080252,Added Small Passive Skills also grant: #% increased Projectile Speed,explicit,
explicit.stat_3191479793,#% increased effect of Offerings,explicit,
explicit.stat_1237693206,#% less Poison Duration,explicit,
explicit.stat_3796013729,Socketed Gems are Supported by Level # Ruthless,explicit,
explicit.stat_3779398176,You have Lesser Massive Shrine Buff,explicit,
explicit.stat_1364858171,1 Added Passive Skill is Sublime Sensation,explicit,
explicit.stat_3864993324,# Maximum Energy Shield per Level,explicit,
explicit.stat_3281123655,"Cannot Ignite, Chill, Freeze or Shock",explicit,
explicit.stat_1852317988,Insufficient Mana doesn't prevent your Melee Attacks,explicit,
explicit.stat_2223565123,Socketed Gems are Supported by Level # Greater Volley,explicit,
explicit.stat_3337107517,#% increased Fire Damage while affected by Anger,explicit,
explicit.stat_3391324703,Traps and Mines deal # to # additional Physical Damage,explicit,
explicit.stat_3848047105,Your Physical Damage can Shock,explicit,
explicit.stat_989800292,Regenerate #% of Life per second per Endurance Charge,explicit,
explicit.stat_3624529132,#% of Physical Damage Converted to Fire Damage while affected by Anger,explicit,
explicit.stat_770408103,1 Added Passive Skill is Overwhelming Malice,explicit,
explicit.stat_2244243943,1 Added Passive Skill is Weight Advantage,explicit,
explicit.stat_3111519953,Damage Penetrates #% Fire Resistance while affected by Anger,explicit,
explicit.stat_3290081052,Arrows fired from the second firing points Fork,explicit,
explicit.stat_4222265138,1 Added Passive Skill is Assert Dominance,explicit,
explicit.stat_301746072,Arrows fired from the third firing points Return to you,explicit,
explicit.stat_2668070396,Trigger Level # Shock Ground when Hit,explicit,
explicit.stat_3835899275,Socketed Gems deal #% more Elemental Damage,explicit,
explicit.stat_1982144275,# Maximum Life per Level,explicit,
explicit.stat_4026156644,#% to all maximum Elemental Resistances during Effect,explicit,
explicit.stat_2761538350,You have Lesser Brutal Shrine Buff,explicit,
explicit.stat_2255914633,Gain #% of Physical Damage as Extra Lightning Damage while affected by Wrath,explicit,
explicit.stat_2896346114,Point Blank,explicit,
explicit.stat_4291066912,1 Added Passive Skill is Evil Eye,explicit,
explicit.stat_1663239249,"Trigger Level # Bone Offering, Flesh Offering or Spirit Offering every 5 seconds
Offering Skills Triggered this way also affect you",explicit,
explicit.stat_450601566,Despair has no Reservation if Cast as an Aura,explicit,
explicit.stat_3513180117,#% increased Mana Recovery rate,explicit,
explicit.stat_2563691316,# Maximum Mana per Level,explicit,
explicit.stat_2337273077,1 Added Passive Skill is Life from Death,explicit,
explicit.stat_3901992019,1 Added Passive Skill is Arcane Heroism,explicit,
explicit.stat_3036440332,Socketed Gems are Supported by Level # Cast when Damage Taken,explicit,
explicit.stat_3801128794,#% increased Damage per 15 Intelligence,explicit,
explicit.stat_4120556534,1 Added Passive Skill is Aerodynamics,explicit,
explicit.stat_2913581789,1 Added Passive Skill is Precise Focus,explicit,
explicit.stat_1994143317,Socketed Gems are Supported by Level # Elemental Penetration,explicit,
explicit.stat_3692167527,Added Small Passive Skills also grant: #% increased Attack and Cast Speed with Chaos Skills,explicit,
explicit.stat_622362787,1 Added Passive Skill is Primordial Bond,explicit,
explicit.stat_226515115,Arrows fired from the fourth firing points Chain # time,explicit,
explicit.stat_2510276385,Damage of Enemies Hitting you is Unlucky while you have a Magic Ring Equipped,explicit,
explicit.stat_584144941,Socketed Gems are Supported by Level # Lesser Multiple Projectiles,explicit,
explicit.stat_510654792,1 Added Passive Skill is Natural Vigour,explicit,
explicit.stat_1309218394,1 Added Passive Skill is Introspection,explicit,
explicit.stat_4245204226,Gain #% of Physical Damage as Extra Fire Damage while affected by Anger,explicit,
explicit.stat_2905429068,You have Resolute Technique while you do not have Elemental Overload,explicit,
explicit.stat_3737604164,1 Added Passive Skill is Eldritch Inspiration,explicit,
explicit.stat_708913352,Every 16 seconds you gain Elemental Overload for 8 seconds,explicit,
explicit.stat_2383304564,#% of Damage taken from Mana before Life while affected by Clarity,explicit,
